Designator,Mid X,Mid Y,Rotation,Layer
D1_24,22.0,-9.0,180.0,top
D1_23,44.0,-37.0,180.0,top
D1_22,44.0,-16.0,180.0,top
D1_21,22.0,-37.0,180.0,top
D1_20,11.0,-44.0,180.0,top
D1_19,22.0,-44.0,180.0,top
D1_18,11.0,-16.0,180.0,top
D1_17,33.0,-16.0,180.0,top
D1_16,33.0,-9.0,180.0,top
D1_15,11.0,-9.0,180.0,top
D1_14,44.0,-44.0,180.0,top
D1_13,33.0,-37.0,180.0,top
D1_12,22.0,-16.0,180.0,top
D1_11,33.0,-44.0,180.0,top
D1_10,44.0,-30.0,180.0,top
D1_9,22.0,-30.0,180.0,top
D1_8,33.0,-30.0,180.0,top
D1_7,44.0,-23.0,180.0,top
D1_6,11.0,-23.0,180.0,top
D1_5,11.0,-37.0,180.0,top
D1_4,11.0,-30.0,180.0,top
D1_3,33.0,-23.0,180.0,top
D1_2,22.0,-23.0,180.0,top
D1,44.0,-9.0,180.0,top
R1_24,22.0,-44.0,270.0,bottom
R1_23,44.0,-30.0,270.0,bottom
R1_22,33.0,-9.0,270.0,bottom
R1_21,22.0,-30.0,270.0,bottom
R1_20,33.0,-30.0,270.0,bottom
R1_19,33.0,-44.0,270.0,bottom
R1_18,33.0,-16.0,270.0,bottom
R1_17,22.0,-9.0,270.0,bottom
R1_16,33.0,-23.0,270.0,bottom
R1_15,44.0,-16.0,270.0,bottom
R1_14,44.0,-9.0,270.0,bottom
R1_13,44.0,-37.0,270.0,bottom
R1_12,44.0,-44.0,270.0,bottom
R1_11,11.0,-44.0,270.0,bottom
R1_10,33.0,-37.0,270.0,bottom
R1_9,11.0,-37.0,270.0,bottom
R1_8,11.0,-30.0,270.0,bottom
R1_7,22.0,-23.0,270.0,bottom
R1_6,11.0,-23.0,270.0,bottom
R1_5,22.0,-37.0,270.0,bottom
R1_4,44.0,-23.0,270.0,bottom
R1_3,11.0,-16.0,270.0,bottom
R1_2,22.0,-16.0,270.0,bottom
R1,11.0,-9.0,270.0,bottom
R2_24,33.0,-23.0,0.0,bottom
R2_23,44.0,-37.0,0.0,bottom
R2_22,33.0,-30.0,0.0,bottom
R2_21,33.0,-37.0,0.0,bottom
R2_20,11.0,-37.0,0.0,bottom
R2_19,33.0,-16.0,0.0,bottom
R2_18,11.0,-9.0,0.0,bottom
R2_17,22.0,-37.0,0.0,bottom
R2_16,22.0,-30.0,0.0,bottom
R2_15,11.0,-23.0,0.0,bottom
R2_14,33.0,-44.0,0.0,bottom
R2_13,33.0,-9.0,0.0,bottom
R2_12,11.0,-16.0,0.0,bottom
R2_11,22.0,-23.0,0.0,bottom
R2_10,44.0,-23.0,0.0,bottom
R2_9,22.0,-44.0,0.0,bottom
R2_8,44.0,-9.0,0.0,bottom
R2_7,11.0,-44.0,0.0,bottom
R2_6,44.0,-44.0,0.0,bottom
R2_5,22.0,-16.0,0.0,bottom
R2_4,44.0,-30.0,0.0,bottom
R2_3,44.0,-16.0,0.0,bottom
R2_2,11.0,-30.0,0.0,bottom
R2,22.0,-9.0,0.0,bottom
